layer,row,column,Reach,Stage,Conductanc,Bottom,,,,
1,190,37,463,798.920000,1569.230000,797.920000,,,,
1,191,39,463,802.990000,528.390000,801.990000,,,,
1,193,41,463,805.380000,1433.010000,804.380000,,,,
1,194,42,463,805.390000,614.550000,804.390000,,,,
1,193,42,463,805.390000,2539.770000,804.390000,,,,
1,197,43,463,806.400000,1361.560000,805.400000,,,,
1,196,43,463,806.400000,2307.190000,805.400000,,,,
1,198,44,463,806.400000,2408.760000,805.400000,,,,
1,200,45,463,807.070000,1809.160000,806.070000,,,,
1,204,46,463,807.070000,2083.510000,806.070000,,,,
1,203,46,463,807.070000,2008.690000,806.070000,,,,
1,202,46,463,807.070000,1980.330000,806.070000,,,,
1,201,46,463,807.070000,2022.110000,806.070000,,,,
1,205,47,463,807.070000,2159.400000,806.070000,,,,
1,204,47,463,807.070000,542.030000,806.070000,,,,
1,149,7,407,786.160000,15224.810000,783.160000,,,,
1,178,44,409,825.000000,20630.740000,822.000000,,,,
1,178,45,409,826.790000,20982.360000,823.790000,,,,
1,177,46,409,826.000000,28726.230000,823.000000,,,,
1,175,8,409,790.310000,22081.990000,787.310000,,,,
1,175,9,409,790.310000,18787.550000,787.310000,,,,
1,19,62,412,1080.350000,15771.820000,1077.350000,,,,
1,178,89,413,877.130000,15321.390000,874.130000,,,,
1,183,91,413,888.780000,16202.480000,885.780000,,,,
1,176,97,414,863.000000,15316.260000,860.000000,,,,
1,188,99,414,885.000000,20910.610000,882.000000,,,,
1,186,109,414,850.000000,20668.070000,847.000000,,,,
1,185,109,414,849.000000,25818.510000,846.000000,,,,
1,186,110,414,850.000000,16779.240000,847.000000,,,,
1,193,94,414,908.880000,24095.820000,905.880000,,,,
1,189,98,414,887.620000,20462.940000,884.620000,,,,
1,188,98,414,887.620000,16869.000000,884.620000,,,,
1,185,108,414,852.860000,17026.530000,849.860000,,,,
1,163,103,415,849.230000,17777.140000,846.230000,,,,
1,191,136,415,884.000000,15609.160000,881.000000,,,,
1,193,142,415,885.000000,15595.130000,882.000000,,,,
1,184,142,415,883.360000,18222.980000,880.360000,,,,
1,196,143,415,893.000000,24633.030000,890.000000,,,,
1,187,146,415,878.000000,15462.290000,875.000000,,,,
1,186,146,415,876.000000,19452.460000,873.000000,,,,
1,194,147,415,894.000000,20125.120000,891.000000,,,,
1,195,148,415,893.000000,18379.660000,890.000000,,,,
1,183,148,415,876.000000,19785.460000,873.000000,,,,
1,198,149,415,895.000000,19958.010000,892.000000,,,,
1,197,149,415,890.000000,26376.570000,887.000000,,,,
1,198,150,415,897.000000,24378.150000,894.000000,,,,
1,167,150,415,890.000000,15500.690000,887.000000,,,,
1,185,151,415,879.000000,15150.450000,876.000000,,,,
1,184,151,415,876.000000,22194.060000,873.000000,,,,
1,185,152,415,879.520000,17894.120000,876.520000,,,,
1,184,152,415,876.000000,24831.180000,873.000000,,,,
1,185,153,415,879.520000,17804.820000,876.520000,,,,
1,164,142,415,887.200000,16440.880000,884.200000,,,,
1,165,143,415,887.200000,29943.760000,884.200000,,,,
1,164,143,415,887.200000,29762.540000,884.200000,,,,
1,164,144,415,887.200000,16632.520000,884.200000,,,,
1,166,145,415,884.670000,25700.080000,881.670000,,,,
1,121,86,417,843.000000,16292.620000,840.000000,,,,
1,134,91,417,832.000000,21708.060000,829.000000,,,,
1,109,97,417,859.750000,15898.610000,856.750000,,,,
1,142,101,417,858.940000,21738.340000,855.940000,,,,
1,158,142,417,879.740000,21092.130000,876.740000,,,,
1,157,144,417,887.560000,18999.500000,884.560000,,,,
1,159,145,417,889.650000,15668.180000,886.650000,,,,
1,158,145,417,888.000000,26625.170000,885.000000,,,,
1,157,145,417,887.000000,17382.520000,884.000000,,,,
1,159,146,417,886.000000,22841.730000,883.000000,,,,
1,158,146,417,887.000000,24549.170000,884.000000,,,,
1,130,148,417,930.310000,27400.460000,927.310000,,,,
1,129,148,417,917.000000,23049.930000,914.000000,,,,
1,130,149,417,923.000000,29943.680000,920.000000,,,,
1,129,149,417,914.000000,24345.880000,911.000000,,,,
1,132,103,417,889.000000,17601.220000,886.000000,,,,
1,112,110,417,956.410000,23311.790000,953.410000,,,,
1,139,111,417,934.640000,16817.260000,931.640000,,,,
1,139,119,417,916.920000,18603.960000,913.920000,,,,
1,154,120,417,884.960000,16400.330000,881.960000,,,,
1,126,120,417,924.710000,23214.360000,921.710000,,,,
1,126,121,417,924.270000,20541.210000,921.270000,,,,
1,142,132,417,916.100000,19938.380000,913.100000,,,,
1,155,135,417,865.000000,15494.630000,862.000000,,,,
1,147,142,417,896.240000,29786.610000,893.240000,,,,
1,139,105,417,883.700000,18036.700000,880.700000,,,,
1,48,64,420,994.220000,14975.440000,991.220000,,,,
1,83,75,421,888.030000,15821.270000,885.030000,,,,
1,86,76,421,886.000000,18796.900000,883.000000,,,,
1,82,76,421,888.030000,15115.720000,885.030000,,,,
1,88,77,421,880.420000,20213.040000,877.420000,,,,
1,87,77,421,882.000000,15578.570000,879.000000,,,,
1,86,77,421,881.000000,28899.470000,878.000000,,,,
1,90,78,421,879.830000,16848.380000,876.830000,,,,
1,25,94,421,972.000000,20911.920000,969.000000,,,,
1,80,66,421,918.290000,19195.360000,915.290000,,,,
1,65,67,423,1037.090000,15801.720000,1034.090000,,,,
1,104,52,423,878.000000,16286.180000,875.000000,,,,
1,141,15,426,778.000000,26875.140000,775.000000,,,,
1,142,16,426,779.020000,16433.440000,776.020000,,,,
1,141,16,426,778.690000,29943.760000,775.690000,,,,
1,141,17,426,779.000000,22852.460000,776.000000,,,,
1,140,19,426,780.330000,21120.110000,777.330000,,,,
1,139,22,426,781.310000,15170.760000,778.310000,,,,
1,137,24,426,781.640000,24738.510000,778.640000,,,,
1,137,25,426,783.280000,26394.350000,780.280000,,,,
1,140,26,426,784.920000,19080.600000,781.920000,,,,
1,139,26,426,783.610000,21205.280000,780.610000,,,,
1,139,27,426,784.140000,28191.940000,781.140000,,,,
1,139,28,426,784.580000,25133.520000,781.580000,,,,
1,139,29,426,784.920000,15705.130000,781.920000,,,,
1,136,33,426,784.960000,18560.950000,781.960000,,,,
1,136,34,426,787.340000,19635.590000,784.340000,,,,
1,136,35,426,787.820000,19894.460000,784.820000,,,,
1,136,36,426,787.550000,19666.100000,784.550000,,,,
1,137,38,426,789.250000,29700.600000,786.250000,,,,
1,138,40,426,794.000000,17457.030000,791.000000,,,,
1,138,41,426,794.000000,22518.320000,791.000000,,,,
1,137,43,426,793.000000,18378.820000,790.000000,,,,
1,5,109,430,968.610000,15076.710000,965.610000,,,,
1,12,122,430,873.270000,22042.210000,870.270000,,,,
1,9,122,430,863.970000,24775.990000,860.970000,,,,
1,7,122,430,862.660000,16449.690000,859.660000,,,,
1,9,123,430,863.970000,17857.860000,860.970000,,,,
1,8,124,430,860.390000,29943.760000,857.390000,,,,
1,8,125,430,860.390000,29448.790000,857.390000,,,,
1,9,126,430,861.640000,28751.220000,858.640000,,,,
1,8,126,430,860.000000,29943.760000,857.000000,,,,
1,8,127,430,861.000000,28831.560000,858.000000,,,,
1,7,127,430,860.000000,29943.760000,857.000000,,,,
1,5,127,430,859.000000,20692.600000,856.000000,,,,
1,7,128,430,860.390000,18799.890000,857.390000,,,,
1,16,136,431,884.000000,20742.890000,881.000000,,,,
1,15,136,431,884.000000,18305.760000,881.000000,,,,
1,16,137,431,883.000000,24527.090000,880.000000,,,,
1,15,137,431,881.000000,29943.830000,878.000000,,,,
1,15,138,431,882.000000,29027.640000,879.000000,,,,
1,14,138,431,880.000000,16864.630000,877.000000,,,,
1,13,143,431,887.000000,20271.380000,884.000000,,,,
1,13,144,431,887.000000,29266.270000,884.000000,,,,
1,13,145,431,884.820000,25162.260000,881.820000,,,,
1,12,145,431,881.000000,18391.080000,878.000000,,,,
1,13,146,431,882.970000,24728.930000,879.970000,,,,
1,12,146,431,878.000000,17009.360000,875.000000,,,,
1,13,147,431,880.620000,19645.860000,877.620000,,,,
1,12,147,431,877.000000,21610.330000,874.000000,,,,
1,15,148,431,885.000000,15328.370000,882.000000,,,,
1,13,148,431,879.720000,18951.670000,876.720000,,,,
1,12,148,431,878.000000,20909.230000,875.000000,,,,
1,12,149,431,878.000000,19512.410000,875.000000,,,,
1,12,150,431,879.110000,17824.520000,876.110000,,,,
1,14,151,431,874.500000,21914.500000,871.500000,,,,
1,10,155,431,874.000000,16186.920000,871.000000,,,,
1,16,167,431,866.000000,16542.450000,863.000000,,,,
1,23,173,431,783.650000,29631.840000,780.650000,,,,
1,22,173,431,782.000000,29943.760000,779.000000,,,,
1,21,173,431,781.000000,27884.240000,778.000000,,,,
1,2,173,431,845.000000,20932.380000,842.000000,,,,
1,1,173,431,845.000000,18249.730000,842.000000,,,,
1,23,174,431,785.250000,21863.830000,782.250000,,,,
1,22,174,431,782.000000,29943.760000,779.000000,,,,
1,21,174,431,780.000000,29943.760000,777.000000,,,,
1,20,174,431,783.650000,25268.970000,780.650000,,,,
1,19,174,431,783.650000,16821.860000,780.650000,,,,
1,11,174,431,804.890000,16453.680000,801.890000,,,,
1,22,175,431,784.880000,21456.170000,781.880000,,,,
1,10,180,431,806.000000,21245.600000,803.000000,,,,
1,7,182,431,794.200000,26227.320000,791.200000,,,,
1,6,182,431,794.200000,27058.430000,791.200000,,,,
1,7,183,431,794.200000,29859.820000,791.200000,,,,
1,6,183,431,794.000000,29943.760000,791.000000,,,,
1,5,183,431,794.000000,18294.270000,791.000000,,,,
1,8,184,431,794.050000,19095.930000,791.050000,,,,
1,7,184,431,794.200000,27307.480000,791.200000,,,,
1,6,184,431,794.000000,29943.760000,791.000000,,,,
1,5,184,431,794.000000,29662.350000,791.000000,,,,
1,4,184,431,794.200000,20097.830000,791.200000,,,,
1,3,184,431,794.740000,16720.900000,791.740000,,,,
1,5,185,431,793.890000,29943.760000,790.890000,,,,
1,4,185,431,793.890000,29943.830000,790.890000,,,,
1,3,185,431,794.000000,29943.760000,791.000000,,,,
1,2,185,431,793.000000,29943.760000,790.000000,,,,
1,7,186,431,793.870000,21997.590000,790.870000,,,,
1,4,186,431,793.890000,29943.760000,790.890000,,,,
1,3,186,431,793.890000,29943.830000,790.890000,,,,
1,2,186,431,794.000000,29943.760000,791.000000,,,,
1,1,186,431,794.000000,15385.020000,791.000000,,,,
1,7,187,431,793.910000,18152.990000,790.910000,,,,
1,4,187,431,793.890000,29943.830000,790.890000,,,,
1,3,187,431,793.890000,29943.760000,790.890000,,,,
1,2,187,431,793.890000,29943.760000,790.890000,,,,
1,1,187,431,793.890000,21535.820000,790.890000,,,,
